,Año,Trimestre,Ingresos (miles de pesos)
0,2024,2,442032166.69
1,2024,1,346198986.13
2,2023,4,167376014.8
3,2023,3,133106593.41
4,2023,2,118060280.28
5,2023,1,104134992.81
6,2022,4,72443482.9891497
7,2022,3,64086784.3305304
8,2022,2,60419500.6232803
9,2022,1,55219313.0146503
10,2021,4,45467887.1650125
11,2021,3,42999944.2928225
12,2021,2,38239666.6335425
13,2021,1,36676371.3623924
14,2020,4,33539702.7163118
15,2020,3,31997444.5306992
16,2020,2,32102475.9914636
17,2020,1,29946216.4520491
18,2019,4,24169250.6990153
19,2019,3,21652748.4446425
20,2019,2,20743117.6940061
21,2019,1,20207413.7708524
22,2018,4,16637686.5890096
23,2018,3,15410980.692583
24,2018,2,14319467.4607138
25,2018,1,13171459.2308934
26,2017,4,11226127.38858
27,2017,3,10065997.86215
28,2017,2,9678646.92829
29,2017,1,8701201.42137
30,2016,4,7483980.39327901
31,2016,3,6912441.53885665
32,2016,2,6534240.5975
33,2016,1,5936844.8865
34,2015,4,5376899.206
35,2015,3,5153738.88436
36,2015,2,4701790.71966
37,2015,1,4876385.31507
38,2014,4,3950440.78037
39,2014,3,3478637.74279962
40,2014,2,3270816.20391
41,2014,1,2984054.20878
