Año,Trimestre,Provincia,Accesos por cada 100 hogares
2024,2,Buenos Aires,80.0
2024,2,Capital Federal,116.0
2024,2,Catamarca,69.0
2024,2,Chaco,44.0
2024,2,Chubut,86.0
2024,2,Córdoba,91.0
2024,2,Corrientes,51.0
2024,2,Entre Ríos,69.0
2024,2,Formosa,40.0
2024,2,Jujuy,58.0
2024,2,La Pampa,101.0
2024,2,La Rioja,80.0
2024,2,Mendoza,52.0
2024,2,Misiones,58.0
2024,2,Neuquén,79.0
2024,2,Río Negro,71.0
2024,2,Salta,56.0
2024,2,San Juan,51.0
2024,2,San Luis,103.0
2024,2,Santa Cruz,70.0
2024,2,Santa Fe,81.0
2024,2,Santiago Del Estero,50.0
2024,2,Tierra Del Fuego,109.0
2024,2,Tucumán,61.0
2024,1,Buenos Aires,81.0
2024,1,Capital Federal,120.0
2024,1,Catamarca,69.0
2024,1,Chaco,47.0
2024,1,Chubut,85.0
2024,1,Córdoba,91.0
2024,1,Corrientes,52.0
2024,1,Entre Ríos,69.0
2024,1,Formosa,40.0
2024,1,Jujuy,58.0
2024,1,La Pampa,100.0
2024,1,La Rioja,80.0
2024,1,Mendoza,53.0
2024,1,Misiones,57.0
2024,1,Neuquén,80.0
2024,1,Río Negro,71.0
2024,1,Salta,56.0
2024,1,San Juan,52.0
2024,1,San Luis,103.0
2024,1,Santa Cruz,68.0
2024,1,Santa Fe,80.0
2024,1,Santiago Del Estero,49.0
2024,1,Tierra Del Fuego,110.0
2024,1,Tucumán,60.0
2023,4,Buenos Aires,81.0
2023,4,Capital Federal,117.0
2023,4,Catamarca,69.0
2023,4,Chaco,44.0
2023,4,Chubut,85.0
2023,4,Córdoba,91.0
2023,4,Corrientes,53.0
2023,4,Entre Ríos,70.0
2023,4,Formosa,39.0
2023,4,Jujuy,58.0
2023,4,La Pampa,100.0
2023,4,La Rioja,80.0
2023,4,Mendoza,52.0
2023,4,Misiones,56.0
2023,4,Neuquén,80.0
2023,4,Río Negro,70.0
2023,4,Salta,57.0
2023,4,San Juan,50.0
2023,4,San Luis,102.0
2023,4,Santa Cruz,74.0
2023,4,Santa Fe,80.0
2023,4,Santiago Del Estero,49.0
2023,4,Tierra Del Fuego,110.0
2023,4,Tucumán,61.0
2023,3,Buenos Aires,81.0
2023,3,Capital Federal,116.0
2023,3,Catamarca,69.0
2023,3,Chaco,43.0
2023,3,Chubut,84.0
2023,3,Córdoba,90.0
2023,3,Corrientes,53.0
2023,3,Entre Ríos,69.0
2023,3,Formosa,39.0
2023,3,Jujuy,58.0
2023,3,La Pampa,99.0
2023,3,La Rioja,80.0
2023,3,Mendoza,52.0
2023,3,Misiones,56.0
2023,3,Neuquén,80.0
2023,3,Río Negro,68.0
2023,3,Salta,58.0
2023,3,San Juan,50.0
2023,3,San Luis,99.0
2023,3,Santa Cruz,41.0
2023,3,Santa Fe,79.0
2023,3,Santiago Del Estero,49.0
2023,3,Tierra Del Fuego,106.0
2023,3,Tucumán,61.0
2023,2,Buenos Aires,80.0
2023,2,Capital Federal,115.0
2023,2,Catamarca,67.0
2023,2,Chaco,43.0
2023,2,Chubut,82.0
2023,2,Córdoba,90.0
2023,2,Corrientes,52.0
2023,2,Entre Ríos,64.0
2023,2,Formosa,38.0
2023,2,Jujuy,58.0
2023,2,La Pampa,98.0
2023,2,La Rioja,80.0
2023,2,Mendoza,52.0
2023,2,Misiones,55.0
2023,2,Neuquén,79.0
2023,2,Río Negro,69.0
2023,2,Salta,57.0
2023,2,San Juan,48.0
2023,2,San Luis,93.0
2023,2,Santa Cruz,42.0
2023,2,Santa Fe,79.0
2023,2,Santiago Del Estero,47.0
2023,2,Tierra Del Fuego,106.0
2023,2,Tucumán,61.0
2023,1,Buenos Aires,79.0
2023,1,Capital Federal,123.0
2023,1,Catamarca,66.0
2023,1,Chaco,43.0
2023,1,Chubut,86.0
2023,1,Córdoba,89.0
2023,1,Corrientes,52.0
2023,1,Entre Ríos,65.0
2023,1,Formosa,39.0
2023,1,Jujuy,58.0
2023,1,La Pampa,97.0
2023,1,La Rioja,80.0
2023,1,Mendoza,51.0
2023,1,Misiones,54.0
2023,1,Neuquén,79.0
2023,1,Río Negro,69.0
2023,1,Salta,58.0
2023,1,San Juan,50.0
2023,1,San Luis,90.0
2023,1,Santa Cruz,43.0
2023,1,Santa Fe,78.0
2023,1,Santiago Del Estero,48.0
2023,1,Tierra Del Fuego,104.0
2023,1,Tucumán,60.0
2022,4,Buenos Aires,79.0
2022,4,Capital Federal,123.0
2022,4,Catamarca,66.0
2022,4,Chaco,44.0
2022,4,Chubut,86.0
2022,4,Córdoba,89.0
2022,4,Corrientes,52.0
2022,4,Entre Ríos,64.0
2022,4,Formosa,39.0
2022,4,Jujuy,58.0
2022,4,La Pampa,95.0
2022,4,La Rioja,80.0
2022,4,Mendoza,51.0
2022,4,Misiones,53.0
2022,4,Neuquén,79.0
2022,4,Río Negro,68.0
2022,4,Salta,58.0
2022,4,San Juan,51.0
2022,4,San Luis,90.0
2022,4,Santa Cruz,44.0
2022,4,Santa Fe,78.0
2022,4,Santiago Del Estero,48.0
2022,4,Tierra Del Fuego,101.0
2022,4,Tucumán,61.0
2022,3,Buenos Aires,78.0
2022,3,Capital Federal,122.0
2022,3,Catamarca,65.0
2022,3,Chaco,44.0
2022,3,Chubut,84.0
2022,3,Córdoba,88.0
2022,3,Corrientes,48.0
2022,3,Entre Ríos,64.0
2022,3,Formosa,44.0
2022,3,Jujuy,59.0
2022,3,La Pampa,97.0
2022,3,La Rioja,81.0
2022,3,Mendoza,51.0
2022,3,Misiones,52.0
2022,3,Neuquén,80.0
2022,3,Río Negro,68.0
2022,3,Salta,58.0
2022,3,San Juan,51.0
2022,3,San Luis,82.0
2022,3,Santa Cruz,43.0
2022,3,Santa Fe,79.0
2022,3,Santiago Del Estero,48.0
2022,3,Tierra Del Fuego,100.0
2022,3,Tucumán,61.0
2022,2,Buenos Aires,78.0
2022,2,Capital Federal,121.0
2022,2,Catamarca,62.0
2022,2,Chaco,44.0
2022,2,Chubut,83.0
2022,2,Córdoba,87.0
2022,2,Corrientes,48.0
