Año,Trimestre,Mbps (Media de bajada),Mbps Anterior,Tasa Crecimiento (%)
2014,2,3.335636032958513,3.241284423501082,2.910932739297117
2014,3,3.3838723153548553,3.335636032958513,1.4460894989661008
2014,4,3.6384058443365066,3.3838723153548553,7.521960205964781
2015,1,3.876674985457022,3.6384058443365066,6.548723570555002
2015,2,4.037754751854762,3.876674985457022,4.155101136979895
2015,3,4.210907667364234,4.037754751854762,4.288346523025776
2015,4,4.381456979142555,4.210907667364234,4.050179325947416
2016,1,4.460450883337128,4.381456979142555,1.8029140664992238
2016,2,4.627233006762621,4.460450883337128,3.7391314866517216
2016,3,4.925072365876242,4.627233006762621,6.436662227260529
2016,4,5.134693502565771,4.925072365876242,4.256204195940454
2017,1,5.2733469585034,5.134693502565771,2.700325849407475
2017,2,5.530352252074999,5.2733469585034,4.873665540955374
2017,3,6.048790448698156,5.530352252074999,9.374415462028454
2017,4,8.449452895248502,6.048790448698156,39.68830573502551
2018,1,9.043488352267145,8.449452895248502,7.030460603581747
2018,2,9.27180637168318,9.043488352267145,2.5246675897890323
2018,3,10.043622288499373,9.27180637168318,8.324331698442053
2018,4,10.604093281823628,10.043622288499373,5.580367094907905
2019,1,10.762038227717872,10.604093281823628,1.489471487062221
2019,2,12.727170741880128,10.762038227717872,18.259854430743548
2019,3,14.876581255975594,12.727170741880128,16.888360796658436
2019,4,17.685900962071212,14.876581255975594,18.8841754550776
2020,1,20.187730633431105,17.685900962071212,14.145898909675344
2020,2,21.45477645306434,20.187730633431105,6.276316256840646
2020,3,23.140832114549486,21.45477645306434,7.858649402260864
2020,4,24.263884926222506,23.140832114549486,4.8531219884997805
2021,1,25.041744047227763,24.263884926222506,3.2058309020605664
2021,2,27.94933656246772,25.041744047227763,11.610982484911398
2021,3,29.443956456865337,27.94933656246772,5.347604194672346
2021,4,32.28754512235868,29.443956456865337,9.657630996904675
2022,1,34.71125,32.28754512235868,7.506624825319835
2022,2,37.295833333333334,34.71125,7.445952921123078
2022,3,39.6575,37.295833333333334,6.3322533795106635
2022,4,68.50208333333333,39.6575,72.73424530878985
2023,1,71.26083333333334,68.50208333333333,4.027249779507932
2023,2,76.04208333333334,71.26083333333334,6.70950615695859
2023,3,78.60958333333333,76.04208333333334,3.3764198552336637
2023,4,85.20833333333333,78.60958333333333,8.394332752049946
2024,1,86.03541666666666,85.20833333333333,0.9706601466992676
2024,2,87.58749999999999,86.03541666666666,1.8040051335448042
